country,code,year,internet_use,odr,rd,schooling,gdppc,log_gdp_pc,log_internet_use,fertility
Argentina,ARG,2002,10.8821,15.660251,0.38886,9.395,18571.701,9.829394249505585,2.387119237508737,2.493
Argentina,ARG,2003,11.9137,15.697126,0.41013,9.92,20005.139,9.90374446953013,2.4776889984294996,2.451
Argentina,ARG,2004,16.0367,15.728183,0.40376,10.01,21591.45,9.980052681976227,2.774879845611036,2.43
Argentina,ARG,2005,17.7206,15.785692,0.42074,10.099999,23262.408,10.05459394607971,2.874727804648843,2.426
Argentina,ARG,2006,20.9272,15.861772,0.45216,10.19,24877.25,10.121709010197542,3.0410497482444505,2.4
Argentina,ARG,2007,25.9466,15.92414,0.46007,10.299999,26850.664,10.198045829612608,3.2560405798332663,2.37
Argentina,ARG,2008,28.1126,16.001131,0.47055,10.41,27658.484,10.227687795329151,3.336217874415613,2.432
Argentina,ARG,2009,34.0,16.126095,0.58398,10.54,25747.197,10.156081045797883,3.5263605246161616,2.4
Argentina,ARG,2010,45.0,16.261354,0.56104,10.6,28056.258,10.241966987671658,3.80666248977032,2.411
Argentina,ARG,2011,51.0,16.419804,0.56597,10.7,29425.76,10.28962576017216,3.9318256327243257,2.393
Argentina,ARG,2012,55.8,16.602554,0.63491,10.79,28825.967,10.26903189184256,4.021773869387265,2.304
Argentina,ARG,2013,59.9,16.786158,0.61849,10.89,29227.66,10.282870800162458,4.092676505121403,2.335
Argentina,ARG,2014,64.7,16.980867,0.59396,10.91,28200.814,10.247106121757838,4.169761201506855,2.386
Argentina,ARG,2015,68.0431,17.196882,0.62262,10.92,28669.207,10.263578898920414,4.220141327924221,2.35
Argentina,ARG,2016,70.969,17.409235,0.55815,10.93,27802.105,10.232867016236618,4.262243161976862,2.241
Argentina,ARG,2017,74.2949,17.615713,0.55631,11.015,28334.904,10.251849680561982,4.308042308721807,2.168
Argentina,ARG,2018,77.7,17.844986,0.4883,11.1,27367.115,10.217097389098631,4.3528552573736015,2.067
Argentina,ARG,2019,79.947,18.07671,0.47813,11.12,26629.553,10.189776893086924,4.381363915123783,1.882
Argentina,ARG,2020,85.5144,18.258383,0.54126,11.14,23877.094,10.080674868309195,4.448684782814113,1.601
Armenia,ARM,2002,1.96041,15.114688,0.25255,10.559999,5731.3535,8.653706994729392,0.6731536350400413,1.405
Armenia,ARM,2003,4.57522,15.64326,0.32109,10.63,6569.2603,8.79015651762118,1.5206547850030152,1.473
Armenia,ARM,2004,4.89901,16.102198,0.25659,10.7,7299.4,8.89554743197773,1.5890331438872591,1.491
