Series Name,Series Code,Country Name,Country Code,2001 [YR2001]
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,Afghanistan,AFG,..
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,Albania,ALB,8.05
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,Algeria,DZA,3.62
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,American Samoa,ASM,..
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,Andorra,AND,10.63
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,Angola,AGO,..
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,Antigua and Barbuda,ATG,..
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,Argentina,ARG,11.04
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,Armenia,ARM,3.53
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,Aruba,ABW,..
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,Australia,AUS,13.08
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,Austria,AUT,8.67
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,Azerbaijan,AZE,5.52
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,"Bahamas, The",BHS,4.36
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,Bahrain,BHR,3.34
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,Bangladesh,BGD,3.52
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,Barbados,BRB,7.77
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,Belarus,BLR,2.06
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,Belgium,BEL,7.17
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,Belize,BLZ,3.2
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,Benin,BEN,2.61
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,Bermuda,BMU,..
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,Bhutan,BTN,..
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,Bolivia,BOL,6.8
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,Bosnia and Herzegovina,BIH,..
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,Botswana,BWA,4.9
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,Brazil,BRA,11.72
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,British Virgin Islands,VGB,..
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,Brunei Darussalam,BRN,5.74
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,Bulgaria,BGR,6.14
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,Burkina Faso,BFA,2.59
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,Burundi,BDI,5.01
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,Cabo Verde,CPV,4.5
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,Cambodia,KHM,1.89
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,Cameroon,CMR,2.75
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,Canada,CAN,10.93
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,Cayman Islands,CYM,..
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,Central African Republic,CAF,2.33
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,Chad,TCD,..
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,Channel Islands,CHI,..
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,Chile,CHL,9.1
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,China,CHN,21.01
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,Colombia,COL,9.33
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,Comoros,COM,7.06
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,"Congo, Dem. Rep.",COD,..
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,"Congo, Rep.",COG,..
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,Costa Rica,CRI,20.28
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,Cote d'Ivoire,CIV,2.89
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,Croatia,HRV,6.58
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,Cuba,CUB,5.37
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,Curacao,CUW,..
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,Cyprus,CYP,6.04
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,Czechia,CZE,11.01
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,Denmark,DNK,11.55
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,Djibouti,DJI,..
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,Dominica,DMA,6.35
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,Dominican Republic,DOM,6.02
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,Ecuador,ECU,7.89
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,"Egypt, Arab Rep.",EGY,4.62
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,El Salvador,SLV,1.95
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,Equatorial Guinea,GNQ,..
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,Eritrea,ERI,..
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,Estonia,EST,14.61
