FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,AGG_METHOD,AGG_METHOD_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
A,Annual,ABW,Aruba,UNCTAD_DE_DIG_SERVTRADE_ANN_EXP,International exports in digitally-deliverable services,USD,US dollars,SUM,Sum,UNCTAD_DE,Digital Economy and Technology,6,Millions,A,Normal value,PU,Public,83.0,96.0,104.0,73.0,75.0,82.0,83.0,72.0,84.0,95.0,125.0,119.0,126.0,137.0
A,Annual,AFG,Afghanistan,UNCTAD_DE_DIG_SERVTRADE_ANN_EXP,International exports in digitally-deliverable services,USD,US dollars,SUM,Sum,UNCTAD_DE,Digital Economy and Technology,6,Millions,A,Normal value,PU,Public,818.0,1066.0,638.0,296.0,456.0,311.0,176.0,170.0,249.0,214.0,375.0,,,
A,Annual,AGO,Angola,UNCTAD_DE_DIG_SERVTRADE_ANN_EXP,International exports in digitally-deliverable services,USD,US dollars,SUM,Sum,UNCTAD_DE,Digital Economy and Technology,6,Millions,A,Normal value,PU,Public,63.0,60.0,50.0,42.0,60.0,51.0,36.0,43.0,42.0,24.0,17.0,36.0,26.0,36.0
A,Annual,AIA,Anguilla,UNCTAD_DE_DIG_SERVTRADE_ANN_EXP,International exports in digitally-deliverable services,USD,US dollars,SUM,Sum,UNCTAD_DE,Digital Economy and Technology,6,Millions,A,Normal value,PU,Public,7.0,7.0,8.0,7.0,6.0,8.0,7.0,55.0,9.0,8.0,9.0,9.0,8.0,8.0
A,Annual,ALB,Albania,UNCTAD_DE_DIG_SERVTRADE_ANN_EXP,International exports in digitally-deliverable services,USD,US dollars,SUM,Sum,UNCTAD_DE,Digital Economy and Technology,6,Millions,A,Normal value,PU,Public,312.0,314.0,308.0,301.0,286.0,241.0,398.0,,,782.0,,,954.0,1065.0
A,Annual,ARE,United Arab Emirates,UNCTAD_DE_DIG_SERVTRADE_ANN_EXP,International exports in digitally-deliverable services,USD,US dollars,SUM,Sum,UNCTAD_DE,Digital Economy and Technology,6,Millions,A,Normal value,PU,Public,,,,,26059.0,26355.0,27915.0,29740.0,30402.0,30989.0,33689.0,39299.0,46713.0,49700.0
A,Annual,ARG,Argentina,UNCTAD_DE_DIG_SERVTRADE_ANN_EXP,International exports in digitally-deliverable services,USD,US dollars,SUM,Sum,UNCTAD_DE,Digital Economy and Technology,6,Millions,A,Normal value,PU,Public,4755.0,5632.0,5650.0,5535.0,4998.0,5130.0,5357.0,6997.0,6751.0,6492.0,5729.0,6396.0,7613.0,7801.0
A,Annual,ARM,Armenia,UNCTAD_DE_DIG_SERVTRADE_ANN_EXP,International exports in digitally-deliverable services,USD,US dollars,SUM,Sum,UNCTAD_DE,Digital Economy and Technology,6,Millions,A,Normal value,PU,Public,173.0,160.0,152.0,176.0,196.0,189.0,235.0,284.0,316.0,346.0,407.0,458.0,1007.0,1345.0
A,Annual,ATG,Antigua and Barbuda,UNCTAD_DE_DIG_SERVTRADE_ANN_EXP,International exports in digitally-deliverable services,USD,US dollars,SUM,Sum,UNCTAD_DE,Digital Economy and Technology,6,Millions,A,Normal value,PU,Public,48.0,52.0,51.0,52.0,52.0,59.0,62.0,55.0,59.0,65.0,71.0,79.0,80.0,87.0
A,Annual,AUS,Australia,UNCTAD_DE_DIG_SERVTRADE_ANN_EXP,International exports in digitally-deliverable services,USD,US dollars,SUM,Sum,UNCTAD_DE,Digital Economy and Technology,6,Millions,A,Normal value,PU,Public,11602.0,13891.0,14850.0,15276.0,15339.0,13929.0,14065.0,15531.0,16491.0,17567.0,17618.0,21103.0,20953.0,21759.0
A,Annual,AUT,Austria,UNCTAD_DE_DIG_SERVTRADE_ANN_EXP,International exports in digitally-deliverable services,USD,US dollars,SUM,Sum,UNCTAD_DE,Digital Economy and Technology,6,Millions,A,Normal value,PU,Public,17447.0,21104.0,22055.0,24767.0,26498.0,22389.0,23289.0,25744.0,29354.0,30153.0,29949.0,34820.0,35331.0,35604.0
A,Annual,AZE,Azerbaijan,UNCTAD_DE_DIG_SERVTRADE_ANN_EXP,International exports in digitally-deliverable services,USD,US dollars,SUM,Sum,UNCTAD_DE,Digital Economy and Technology,6,Millions,A,Normal value,PU,Public,460.0,375.0,625.0,611.0,495.0,413.0,352.0,431.0,532.0,634.0,489.0,815.0,1110.0,1439.0
A,Annual,BDI,Burundi,UNCTAD_DE_DIG_SERVTRADE_ANN_EXP,International exports in digitally-deliverable services,USD,US dollars,SUM,Sum,UNCTAD_DE,Digital Economy and Technology,6,Millions,A,Normal value,PU,Public,4.0,8.0,8.0,21.0,21.0,14.0,9.0,10.0,12.0,13.0,19.0,25.0,25.0,29.0
A,Annual,BEL,Belgium,UNCTAD_DE_DIG_SERVTRADE_ANN_EXP,International exports in digitally-deliverable services,USD,US dollars,SUM,Sum,UNCTAD_DE,Digital Economy and Technology,6,Millions,A,Normal value,PU,Public,47373.0,51689.0,53079.0,61499.0,69530.0,63903.0,64545.0,70313.0,74454.0,74627.0,75852.0,86692.0,84707.0,92739.0
A,Annual,BEN,Benin,UNCTAD_DE_DIG_SERVTRADE_ANN_EXP,International exports in digitally-deliverable services,USD,US dollars,SUM,Sum,UNCTAD_DE,Digital Economy and Technology,6,Millions,A,Normal value,PU,Public,53.0,66.0,108.0,102.0,93.0,49.0,43.0,22.0,130.0,89.0,53.0,41.0,40.0,
A,Annual,BFA,Burkina Faso,UNCTAD_DE_DIG_SERVTRADE_ANN_EXP,International exports in digitally-deliverable services,USD,US dollars,SUM,Sum,UNCTAD_DE,Digital Economy and Technology,6,Millions,A,Normal value,PU,Public,76.0,198.0,202.0,173.0,137.0,122.0,135.0,158.0,181.0,175.0,177.0,187.0,165.0,
A,Annual,BGD,Bangladesh,UNCTAD_DE_DIG_SERVTRADE_ANN_EXP,International exports in digitally-deliverable services,USD,US dollars,SUM,Sum,UNCTAD_DE,Digital Economy and Technology,6,Millions,A,Normal value,PU,Public,808.0,922.0,762.0,773.0,925.0,961.0,1199.0,1214.0,1571.0,1608.0,1443.0,1740.0,2121.0,2043.0
A,Annual,BGR,Bulgaria,UNCTAD_DE_DIG_SERVTRADE_ANN_EXP,International exports in digitally-deliverable services,USD,US dollars,SUM,Sum,UNCTAD_DE,Digital Economy and Technology,6,Millions,A,Normal value,PU,Public,1246.0,1651.0,1798.0,1810.0,2379.0,2748.0,2905.0,2825.0,3477.0,4218.0,4373.0,5680.0,6497.0,7667.0
