Entity,Code,Year,Proportion of medium and high-tech manufacturing value added in total value added (%) - Manufacturing
Afghanistan,AFG,2018,5.63
Afghanistan,AFG,2019,7.42
Algeria,DZA,2011,1.27
Algeria,DZA,2012,1.39
Algeria,DZA,2013,1.56
Algeria,DZA,2014,1.66
Algeria,DZA,2015,2.69
Angola,AGO,2014,3.27
Angola,AGO,2015,2.99
Angola,AGO,2016,3.53
Angola,AGO,2017,3.56
Angola,AGO,2018,3.27
Angola,AGO,2019,3.29
Angola,AGO,2020,2.99
Angola,AGO,2021,3.56
Angola,AGO,2022,3.56
Armenia,ARM,2009,5.1
Armenia,ARM,2010,4.42
Armenia,ARM,2011,3.95
Armenia,ARM,2012,4.04
Armenia,ARM,2013,3.78
Armenia,ARM,2014,2.89
Armenia,ARM,2015,3.8
Armenia,ARM,2016,4.16
Armenia,ARM,2017,4.16
Armenia,ARM,2018,5.23
Armenia,ARM,2019,5.89
Armenia,ARM,2020,7.33
Armenia,ARM,2021,4.71
Armenia,ARM,2022,4.05
Australia,AUS,2008,26.18
Australia,AUS,2009,28.03
Australia,AUS,2010,27.82
Australia,AUS,2011,26.99
Australia,AUS,2012,27.95
Australia,AUS,2013,27.81
Australia,AUS,2014,27.16
Australia,AUS,2015,26.12
Australia,AUS,2016,26.7
Australia,AUS,2017,26.55
Australia,AUS,2018,25.98
Australia,AUS,2019,26.26
Australia,AUS,2020,27.34
Australia,AUS,2021,29.14
Australia,AUS,2022,28.91
Australia and New Zealand (UN SDG),,2008,25.25
Australia and New Zealand (UN SDG),,2009,26.58
Australia and New Zealand (UN SDG),,2010,26.92
Australia and New Zealand (UN SDG),,2011,26.19
Australia and New Zealand (UN SDG),,2012,26.75
Australia and New Zealand (UN SDG),,2013,26.64
Australia and New Zealand (UN SDG),,2014,26.05
Australia and New Zealand (UN SDG),,2015,24.74
Australia and New Zealand (UN SDG),,2016,25.29
Australia and New Zealand (UN SDG),,2017,25.65
Australia and New Zealand (UN SDG),,2018,25.04
Australia and New Zealand (UN SDG),,2019,25.28
Australia and New Zealand (UN SDG),,2020,26.29
Australia and New Zealand (UN SDG),,2021,28.13
Australia and New Zealand (UN SDG),,2022,28.01
Austria,AUT,2008,42.16
Austria,AUT,2009,40.5
Austria,AUT,2010,41.87
Austria,AUT,2011,42.89
Austria,AUT,2012,42.65
Austria,AUT,2013,43.2
Austria,AUT,2014,43.59
Austria,AUT,2015,43.56
Austria,AUT,2016,43.96
Austria,AUT,2017,43.87
Austria,AUT,2018,43.53
Austria,AUT,2019,43.33
Austria,AUT,2020,43.18
Austria,AUT,2021,44.39
Austria,AUT,2022,39.31
Azerbaijan,AZE,2009,5.85
Azerbaijan,AZE,2010,7.74
Azerbaijan,AZE,2011,9.51
Azerbaijan,AZE,2012,8.37
Azerbaijan,AZE,2013,9.96
Azerbaijan,AZE,2014,9.68
Azerbaijan,AZE,2015,10.35
Azerbaijan,AZE,2016,9.83
Azerbaijan,AZE,2017,10.5
Azerbaijan,AZE,2018,9.78
Azerbaijan,AZE,2019,10.25
Azerbaijan,AZE,2020,10.14
Azerbaijan,AZE,2021,14.5
Azerbaijan,AZE,2022,13.67
Bangladesh,BGD,2012,9.15
Bangladesh,BGD,2018,5.25
Belarus,BLR,2014,36.17
Belarus,BLR,2015,41.05
Belarus,BLR,2016,34.03
Belarus,BLR,2017,36.23
Belarus,BLR,2018,38.94
Belarus,BLR,2019,37.5
Belarus,BLR,2020,33.73
Belgium,BEL,2012,45.88
Belgium,BEL,2013,48.23
Belgium,BEL,2014,47.43
Belgium,BEL,2015,45.62
Belgium,BEL,2016,47.43
Belgium,BEL,2017,47.24
Belgium,BEL,2018,49.93
Belgium,BEL,2019,50.15
Belgium,BEL,2020,51.09
Belgium,BEL,2021,48.64
Belgium,BEL,2022,44.89
Bolivia,BOL,2010,11.54
Bolivia,BOL,2012,9.57
Bolivia,BOL,2017,11.7
Bosnia and Herzegovina,BIH,2010,13.7
Bosnia and Herzegovina,BIH,2011,15.58
Bosnia and Herzegovina,BIH,2012,17.36
Bosnia and Herzegovina,BIH,2013,16.42
Bosnia and Herzegovina,BIH,2014,17.38
Bosnia and Herzegovina,BIH,2015,18.65
Bosnia and Herzegovina,BIH,2016,18.2
Bosnia and Herzegovina,BIH,2017,18.61
Bosnia and Herzegovina,BIH,2018,19.54
Bosnia and Herzegovina,BIH,2019,18.31
Bosnia and Herzegovina,BIH,2020,18.67
Bosnia and Herzegovina,BIH,2021,16.59
Bosnia and Herzegovina,BIH,2022,19.54
Botswana,BWA,2014,20.26
Botswana,BWA,2015,23.7
Botswana,BWA,2016,23.36
Botswana,BWA,2017,25.68
Botswana,BWA,2018,26.1
Botswana,BWA,2019,26.75
Botswana,BWA,2020,28.73
Botswana,BWA,2021,28.69
Botswana,BWA,2022,25.85
Brazil,BRA,2008,35.44
Brazil,BRA,2009,33.42
Brazil,BRA,2010,34.85
Brazil,BRA,2011,35
Brazil,BRA,2012,33.81
Brazil,BRA,2013,34.7
Brazil,BRA,2014,32.22
Brazil,BRA,2015,33.51
Brazil,BRA,2016,31.26
Brazil,BRA,2017,33.35
Brazil,BRA,2018,32.83
Brazil,BRA,2019,33.25
Brazil,BRA,2020,29.54
Brazil,BRA,2021,30.35
Brazil,BRA,2022,30.51
Bulgaria,BGR,2009,23.02
Bulgaria,BGR,2010,23.14
Bulgaria,BGR,2011,23.77
Bulgaria,BGR,2012,27.45
Bulgaria,BGR,2013,29.8
Bulgaria,BGR,2014,28.37
Bulgaria,BGR,2015,28.17
Bulgaria,BGR,2016,28.86
Bulgaria,BGR,2017,30.44
Bulgaria,BGR,2018,32.84
Bulgaria,BGR,2019,31.89
Bulgaria,BGR,2020,31.34
Bulgaria,BGR,2021,35.57
Bulgaria,BGR,2022,35.86
Cameroon,CMR,2017,3.21
Canada,CAN,2008,36.39
Canada,CAN,2009,36.43
Canada,CAN,2010,36.44
Canada,CAN,2011,37.35
Canada,CAN,2012,37.79
Canada,CAN,2013,36.89
Canada,CAN,2014,37.78
Canada,CAN,2015,39.22
Canada,CAN,2016,38.09
Canada,CAN,2017,37.3
Canada,CAN,2018,37.28
Canada,CAN,2019,38.05
Canada,CAN,2020,35.4
Canada,CAN,2021,32.32
Canada,CAN,2022,32.86
Cape Verde,CPV,2015,7.07
Cape Verde,CPV,2016,6.66
Cape Verde,CPV,2017,8.42
Cape Verde,CPV,2018,8.35
Chile,CHL,2013,12.92
Chile,CHL,2014,10.09
Chile,CHL,2015,6.36
Chile,CHL,2017,16.75
China,CHN,2011,43.74
China,CHN,2012,43.93
China,CHN,2013,44.22
China,CHN,2014,44.95
China,CHN,2015,45.99
China,CHN,2016,45.33
China,CHN,2017,46.36
China,CHN,2018,47.12
Colombia,COL,2012,21.46
Colombia,COL,2013,21.05
Colombia,COL,2014,21.02
Colombia,COL,2015,22.83
Colombia,COL,2016,23.65
Colombia,COL,2017,23.57
Colombia,COL,2018,22.94
Colombia,COL,2019,24.36
Colombia,COL,2020,25.17
Colombia,COL,2021,24.5
Colombia,COL,2022,24.12
Costa Rica,CRI,2008,24.49
Costa Rica,CRI,2009,25.29
Costa Rica,CRI,2010,24.82
Costa Rica,CRI,2011,25.53
Costa Rica,CRI,2012,27.44
Costa Rica,CRI,2013,27.76
Costa Rica,CRI,2014,26.75
Costa Rica,CRI,2015,24.31
Costa Rica,CRI,2016,26.73
Costa Rica,CRI,2017,31.98
Costa Rica,CRI,2018,34.13
Costa Rica,CRI,2019,35.28
Costa Rica,CRI,2020,35.74
Costa Rica,CRI,2021,37.61
Cote d'Ivoire,CIV,2022,5.95
Croatia,HRV,2008,22.29
Croatia,HRV,2009,20.93
Croatia,HRV,2010,21.97
Croatia,HRV,2011,21.98
Croatia,HRV,2012,22.14
Croatia,HRV,2013,23.74
Croatia,HRV,2014,24.76
Croatia,HRV,2015,25.31
Croatia,HRV,2016,23.52
Croatia,HRV,2017,22.25
Croatia,HRV,2018,21.85
Croatia,HRV,2019,20.69
Croatia,HRV,2020,22.35
Croatia,HRV,2021,19.96
Croatia,HRV,2022,13.8
Cyprus,CYP,2008,11.51
Cyprus,CYP,2009,11.62
Cyprus,CYP,2010,13.2
Cyprus,CYP,2011,13.93
Cyprus,CYP,2012,14.51
Cyprus,CYP,2013,17.49
Cyprus,CYP,2014,18.52
Cyprus,CYP,2015,19.96
Cyprus,CYP,2016,17.44
Cyprus,CYP,2017,18.55
Cyprus,CYP,2018,18.62
Cyprus,CYP,2019,19.08
Cyprus,CYP,2020,22.12
Cyprus,CYP,2021,20.01
Cyprus,CYP,2022,18.12
Czechia,CZE,2008,41.94
Czechia,CZE,2009,42.58
Czechia,CZE,2010,46.21
Czechia,CZE,2011,46.94
Czechia,CZE,2012,47.96
Czechia,CZE,2013,48.6
Czechia,CZE,2014,49.51
Czechia,CZE,2015,49.83
Czechia,CZE,2016,49.48
Czechia,CZE,2017,50.47
Czechia,CZE,2018,49.72
Czechia,CZE,2019,49.67
