Entity,Code,Year,Human Capital Index (HCI) (scale 0-1),World region according to OWID
Afghanistan,AFG,2017,0.389,Asia
Afghanistan,AFG,2018,0.39348924,Asia
Afghanistan,AFG,2020,0.40028414,Asia
Albania,ALB,2010,0.54360294,Europe
Albania,ALB,2017,0.621,Europe
Albania,ALB,2018,0.6286663,Europe
Albania,ALB,2020,0.63425094,Europe
Algeria,DZA,2010,0.5312829,Africa
Algeria,DZA,2017,0.523,Africa
Algeria,DZA,2018,0.5319939,Africa
Algeria,DZA,2020,0.53455645,Africa
Angola,AGO,2017,0.361,Africa
Angola,AGO,2018,0.36019096,Africa
Angola,AGO,2020,0.3624054,Africa
Antigua and Barbuda,ATG,2018,0.57821697,North America
Antigua and Barbuda,ATG,2020,0.5957039,North America
Argentina,ARG,2010,0.58855706,South America
Argentina,ARG,2017,0.611,South America
Argentina,ARG,2018,0.61736673,South America
Argentina,ARG,2020,0.6021447,South America
Armenia,ARM,2017,0.572,Asia
Armenia,ARM,2018,0.58172596,Asia
Armenia,ARM,2020,0.5789988,Asia
Australia,AUS,2010,0.7548438,Oceania
Australia,AUS,2017,0.803,Oceania
Australia,AUS,2018,0.78083396,Oceania
Australia,AUS,2020,0.77023953,Oceania
Austria,AUT,2010,0.7377821,Europe
Austria,AUT,2017,0.793,Europe
Austria,AUT,2018,0.7686731,Europe
Austria,AUT,2020,0.74673975,Europe
Azerbaijan,AZE,2010,0.49745739,Asia
Azerbaijan,AZE,2017,0.597,Asia
Azerbaijan,AZE,2018,0.62931216,Asia
Azerbaijan,AZE,2020,0.57776755,Asia
Bahrain,BHR,2010,0.6049123,Asia
Bahrain,BHR,2017,0.668,Asia
Bahrain,BHR,2018,0.66389877,Asia
Bahrain,BHR,2020,0.652472,Asia
Bangladesh,BGD,2017,0.479,Asia
Bangladesh,BGD,2018,0.45855328,Asia
Bangladesh,BGD,2020,0.46403643,Asia
Belarus,BLR,2020,0.7000782,Europe
Belgium,BEL,2010,0.75272685,Europe
Belgium,BEL,2017,0.757,Europe
Belgium,BEL,2018,0.76275975,Europe
Belgium,BEL,2020,0.76041967,Europe
Benin,BEN,2010,0.3655848,Africa
Benin,BEN,2017,0.406,Africa
Benin,BEN,2018,0.39695033,Africa
Benin,BEN,2020,0.40029073,Africa
Bhutan,BTN,2020,0.47529703,Asia
Bosnia and Herzegovina,BIH,2017,0.618,Europe
Bosnia and Herzegovina,BIH,2018,0.619265,Europe
Bosnia and Herzegovina,BIH,2020,0.5796841,Europe
Botswana,BWA,2010,0.3677121,Africa
Botswana,BWA,2017,0.424,Africa
Botswana,BWA,2018,0.4125165,Africa
Botswana,BWA,2020,0.4140285,Africa
Brazil,BRA,2010,0.5329525,South America
Brazil,BRA,2017,0.56,South America
Brazil,BRA,2018,0.54572374,South America
Brazil,BRA,2020,0.55149794,South America
Brunei,BRN,2020,0.62639135,Asia
Bulgaria,BGR,2010,0.63661927,Europe
Bulgaria,BGR,2017,0.676,Europe
Bulgaria,BGR,2018,0.67027724,Europe
Bulgaria,BGR,2020,0.61389816,Europe
Burkina Faso,BFA,2010,0.31972128,Africa
Burkina Faso,BFA,2017,0.369,Africa
Burkina Faso,BFA,2018,0.37828398,Africa
Burkina Faso,BFA,2020,0.38369194,Africa
Burundi,BDI,2010,0.3428755,Africa
Burundi,BDI,2017,0.38,Africa
Burundi,BDI,2018,0.3895748,Africa
Burundi,BDI,2020,0.38617063,Africa
Cambodia,KHM,2017,0.493,Asia
Cambodia,KHM,2018,0.49068487,Asia
Cambodia,KHM,2020,0.49158987,Asia
Cameroon,CMR,2010,0.37978294,Africa
Cameroon,CMR,2017,0.394,Africa
Cameroon,CMR,2018,0.39332068,Africa
Cameroon,CMR,2020,0.3974015,Africa
Canada,CAN,2010,0.77410376,North America
Canada,CAN,2017,0.799,North America
Canada,CAN,2018,0.80008996,North America
Canada,CAN,2020,0.7975201,North America
Central African Republic,CAF,2020,0.2916319,Africa
Chad,TCD,2010,0.28607464,Africa
Chad,TCD,2017,0.293,Africa
Chad,TCD,2018,0.299029,Africa
Chad,TCD,2020,0.29978278,Africa
Chile,CHL,2010,0.62636,South America
Chile,CHL,2017,0.674,South America
Chile,CHL,2018,0.66526514,South America
Chile,CHL,2020,0.6516042,South America
China,CHN,2017,0.673,Asia
China,CHN,2018,0.64709884,Asia
China,CHN,2020,0.65310264,Asia
Colombia,COL,2010,0.5802495,South America
Colombia,COL,2017,0.593,South America
Colombia,COL,2018,0.59865385,South America
Colombia,COL,2020,0.6043303,South America
Comoros,COM,2017,0.409,Africa
Comoros,COM,2018,0.40095013,Africa
Comoros,COM,2020,0.4046883,Africa
Congo,COG,2010,0.40927175,Africa
Congo,COG,2017,0.42,Africa
Congo,COG,2018,0.41783553,Africa
Congo,COG,2020,0.41926572,Africa
Costa Rica,CRI,2010,0.5977589,North America
Costa Rica,CRI,2017,0.619,North America
Costa Rica,CRI,2018,0.6032588,North America
Costa Rica,CRI,2020,0.62863505,North America
Cote d'Ivoire,CIV,2010,0.3038381,Africa
Cote d'Ivoire,CIV,2017,0.353,Africa
Cote d'Ivoire,CIV,2018,0.36996835,Africa
Cote d'Ivoire,CIV,2020,0.37988934,Africa
Croatia,HRV,2010,0.69329935,Europe
Croatia,HRV,2017,0.723,Europe
Croatia,HRV,2018,0.72936565,Europe
Croatia,HRV,2020,0.70969397,Europe
Cyprus,CYP,2010,0.68636197,Europe
Cyprus,CYP,2017,0.751,Europe
Cyprus,CYP,2018,0.75461704,Europe
Cyprus,CYP,2020,0.7555202,Europe
Czechia,CZE,2010,0.7269691,Europe
Czechia,CZE,2017,0.782,Europe
Czechia,CZE,2018,0.7645167,Europe
Czechia,CZE,2020,0.7522574,Europe
Democratic Republic of Congo,COD,2017,0.369,Africa
Democratic Republic of Congo,COD,2018,0.36452875,Africa
Democratic Republic of Congo,COD,2020,0.36636928,Africa
Denmark,DNK,2010,0.7487384,Europe
Denmark,DNK,2017,0.774,Europe
Denmark,DNK,2018,0.7708318,Europe
Denmark,DNK,2020,0.7550948,Europe
Dominica,DMA,2018,0.55173725,North America
Dominica,DMA,2020,0.5447493,North America
Dominican Republic,DOM,2017,0.492,North America
Dominican Republic,DOM,2018,0.5068803,North America
Dominican Republic,DOM,2020,0.5027669,North America
East Timor,TLS,2010,0.4106656,Asia
East Timor,TLS,2017,0.434,Asia
East Timor,TLS,2018,0.4530519,Asia
East Timor,TLS,2020,0.45431453,Asia
Ecuador,ECU,2010,0.5258067,South America
Ecuador,ECU,2017,0.602,South America
Ecuador,ECU,2018,0.59621954,South America
Ecuador,ECU,2020,0.59425485,South America
Egypt,EGY,2010,0.47885305,Africa
Egypt,EGY,2017,0.486,Africa
Egypt,EGY,2018,0.49251235,Africa
Egypt,EGY,2020,0.49437466,Africa
El Salvador,SLV,2017,0.501,North America
El Salvador,SLV,2018,0.5449857,North America
El Salvador,SLV,2020,0.5461766,North America
Estonia,EST,2010,0.7256638,Europe
Estonia,EST,2017,0.747,Europe
Estonia,EST,2018,0.7741253,Europe
Estonia,EST,2020,0.7772032,Europe
Eswatini,SWZ,2010,0.31076908,Africa
Eswatini,SWZ,2017,0.409,Africa
Eswatini,SWZ,2018,0.3695409,Africa
Eswatini,SWZ,2020,0.3725008,Africa
Ethiopia,ETH,2017,0.385,Africa
Ethiopia,ETH,2018,0.3841006,Africa
Ethiopia,ETH,2020,0.38278484,Africa
Fiji,FJI,2020,0.5085733,Oceania
Finland,FIN,2010,0.8173615,Europe
Finland,FIN,2017,0.814,Europe
Finland,FIN,2018,0.814484,Europe
Finland,FIN,2020,0.796001,Europe
France,FRA,2010,0.75689185,Europe
France,FRA,2017,0.765,Europe
France,FRA,2018,0.7559603,Europe
France,FRA,2020,0.7627372,Europe
Gabon,GAB,2017,0.453,Africa
Gabon,GAB,2018,0.45638788,Africa
Gabon,GAB,2020,0.45761245,Africa
Gambia,GMB,2010,0.3716897,Africa
Gambia,GMB,2017,0.397,Africa
Gambia,GMB,2018,0.40329286,Africa
Gambia,GMB,2020,0.42157063,Africa
Georgia,GEO,2010,0.54114884,Asia
Georgia,GEO,2017,0.614,Asia
Georgia,GEO,2018,0.6090577,Asia
Georgia,GEO,2020,0.5689258,Asia
Germany,DEU,2010,0.7607403,Europe
Germany,DEU,2017,0.795,Europe
Germany,DEU,2018,0.7637728,Europe
Germany,DEU,2020,0.75116247,Europe
Ghana,GHA,2017,0.439,Africa
Ghana,GHA,2018,0.4434901,Africa
Ghana,GHA,2020,0.4500564,Africa
Greece,GRC,2010,0.7148603,Europe
Greece,GRC,2017,0.681,Europe
Greece,GRC,2018,0.69480586,Europe
Greece,GRC,2020,0.6900065,Europe
Grenada,GRD,2018,0.5411949,North America
Grenada,GRD,2020,0.5650705,North America
Guatemala,GTM,2010,0.4419408,North America
Guatemala,GTM,2017,0.46,North America
Guatemala,GTM,2018,0.45677122,North America
Guatemala,GTM,2020,0.4612701,North America
Guinea,GIN,2017,0.374,Africa
Guinea,GIN,2018,0.3690826,Africa
Guinea,GIN,2020,0.37094247,Africa
Guyana,GUY,2017,0.495,South America
Guyana,GUY,2018,0.49434304,South America
Guyana,GUY,2020,0.49522647,South America
Haiti,HTI,2017,0.446,North America
Haiti,HTI,2018,0.44478798,North America
Haiti,HTI,2020,0.4465649,North America
Honduras,HND,2017,0.49,North America
Honduras,HND,2018,0.48030594,North America
Honduras,HND,2020,0.48102313,North America
Hong Kong,HKG,2010,0.7809076,Asia
Hong Kong,HKG,2017,0.822,Asia
Hong Kong,HKG,2018,0.82171804,Asia
Hong Kong,HKG,2020,0.81275654,Asia
Hungary,HUN,2010,0.68972987,Europe
Hungary,HUN,2017,0.703,Europe
Hungary,HUN,2018,0.7050646,Europe
Hungary,HUN,2020,0.6830873,Europe
Iceland,ISL,2010,0.7551776,Europe
Iceland,ISL,2017,0.74,Europe
Iceland,ISL,2018,0.7434311,Europe
Iceland,ISL,2020,0.7452819,Europe
India,IND,2017,0.44,Asia
India,IND,2018,0.4847958,Asia
India,IND,2020,0.4935109,Asia
Indonesia,IDN,2010,0.49636143,Asia
Indonesia,IDN,2017,0.535,Asia
Indonesia,IDN,2018,0.53795725,Asia
Indonesia,IDN,2020,0.54003847,Asia
Iran,IRN,2010,0.56432194,Asia
Iran,IRN,2017,0.591,Asia
Iran,IRN,2018,0.5922091,Asia
Iran,IRN,2020,0.5934045,Asia
Iraq,IRQ,2017,0.398,Asia
Iraq,IRQ,2018,0.39948228,Asia
Iraq,IRQ,2020,0.4076433,Asia
Ireland,IRL,2010,0.7663025,Europe
Ireland,IRL,2017,0.806,Europe
Ireland,IRL,2018,0.81367534,Europe
Ireland,IRL,2020,0.792599,Europe
Israel,ISR,2010,0.71826905,Asia
Israel,ISR,2017,0.763,Asia
Israel,ISR,2018,0.76306444,Asia
Israel,ISR,2020,0.7339953,Asia
Italy,ITA,2010,0.75026584,Europe
Italy,ITA,2017,0.769,Europe
Italy,ITA,2018,0.7528804,Europe
Italy,ITA,2020,0.7278197,Europe
Jamaica,JAM,2017,0.544,North America
Jamaica,JAM,2018,0.53927195,North America
Jamaica,JAM,2020,0.5349779,North America
Japan,JPN,2010,0.8161875,Asia
Japan,JPN,2017,0.844,Asia
Japan,JPN,2018,0.8407092,Asia
Japan,JPN,2020,0.80471426,Asia
Jordan,JOR,2010,0.5565271,Asia
Jordan,JOR,2017,0.562,Asia
Jordan,JOR,2018,0.5469302,Asia
Jordan,JOR,2020,0.5531744,Asia
Kazakhstan,KAZ,2010,0.5940298,Asia
Kazakhstan,KAZ,2017,0.746,Asia
Kazakhstan,KAZ,2018,0.7770604,Asia
Kazakhstan,KAZ,2020,0.6285064,Asia
Kenya,KEN,2017,0.518,Africa
Kenya,KEN,2018,0.5421861,Africa
Kenya,KEN,2020,0.5467525,Africa
Kiribati,KIR,2017,0.479,Oceania
Kiribati,KIR,2018,0.4707155,Oceania
Kiribati,KIR,2020,0.49259293,Oceania
Kosovo,OWID_KOS,2017,0.56,Europe
Kosovo,OWID_KOS,2018,0.569062,Europe
Kosovo,OWID_KOS,2020,0.56733173,Europe
Kuwait,KWT,2010,0.5717145,Asia
Kuwait,KWT,2017,0.576,Asia
Kuwait,KWT,2018,0.56426024,Asia
Kuwait,KWT,2020,0.56258804,Asia
Kyrgyzstan,KGZ,2017,0.58,Asia
Kyrgyzstan,KGZ,2018,0.5935462,Asia
Kyrgyzstan,KGZ,2020,0.5966171,Asia
Laos,LAO,2017,0.452,Asia
Laos,LAO,2018,0.45681542,Asia
Laos,LAO,2020,0.45666534,Asia
Latvia,LVA,2010,0.6764581,Europe
Latvia,LVA,2017,0.724,Europe
Latvia,LVA,2018,0.73835343,Europe
Latvia,LVA,2020,0.7065814,Europe
Lebanon,LBN,2017,0.538,Asia
Lebanon,LBN,2018,0.524636,Asia
Lebanon,LBN,2020,0.5151255,Asia
Lesotho,LSO,2010,0.34088042,Africa
Lesotho,LSO,2017,0.371,Africa
Lesotho,LSO,2018,0.39849252,Africa
Lesotho,LSO,2020,0.4003926,Africa
Liberia,LBR,2017,0.319,Africa
Liberia,LBR,2018,0.31757024,Africa
Liberia,LBR,2020,0.31901422,Africa
Lithuania,LTU,2010,0.68839,Europe
Lithuania,LTU,2017,0.712,Europe
Lithuania,LTU,2018,0.72669524,Europe
Lithuania,LTU,2020,0.70604795,Europe
Luxembourg,LUX,2010,0.7002035,Europe
Luxembourg,LUX,2017,0.692,Europe
Luxembourg,LUX,2018,0.69236857,Europe
Luxembourg,LUX,2020,0.68614614,Europe
Macao,MAC,2010,0.64832515,Asia
Macao,MAC,2017,0.759,Asia
Macao,MAC,2018,0.76328814,Asia
Macao,MAC,2020,0.7956716,Asia
Madagascar,MDG,2010,0.38865483,Africa
Madagascar,MDG,2017,0.374,Africa
Madagascar,MDG,2018,0.38549268,Africa
Madagascar,MDG,2020,0.39199102,Africa
